,Itemset,Antecedent Support,Union Support,Confidence,Lift
31,"frozenset({'qty_&_url_0.0_3.0', 'qty_-_file_0.0_10.0', 'qty_._directory_1.0_9.0', 'file_length_6.0_13.0', 'qty_=_params_0.0_4.0'})",0.1507375,0.1134625,0.7527158139149183,2.007242170439782
32,"frozenset({'qty_&_url_0.0_3.0', 'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'file_length_6.0_13.0', 'qty_=_params_0.0_4.0'})",0.1507375,0.1134625,0.7527158139149183,2.007242170439782
33,"frozenset({'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'qty_-_file_0.0_10.0', 'file_length_6.0_13.0', 'qty___file_0.0_3.0', 'qty_=_params_0.0_4.0'})",0.1507625,0.1135125,0.7529226432302463,2.007793715280657
34,"frozenset({'qty_&_url_0.0_3.0', 'qty_._directory_1.0_9.0', 'qty_-_file_0.0_10.0', 'file_length_6.0_13.0', 'qty___file_0.0_3.0', 'qty_=_params_0.0_4.0'})",0.1507125,0.1134625,0.7528406734676951,2.007575129247187
35,"frozenset({'qty_&_url_0.0_3.0', 'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'file_length_6.0_13.0', 'qty___file_0.0_3.0', 'qty_=_params_0.0_4.0'})",0.1507125,0.1134625,0.7528406734676951,2.007575129247187
36,"frozenset({'qty_&_url_0.0_3.0', 'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'qty_-_file_0.0_10.0', 'file_length_6.0_13.0', 'qty_=_params_0.0_4.0'})",0.1507375,0.1134625,0.7527158139149183,2.007242170439782
37,"frozenset({'qty_&_url_0.0_3.0', 'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'qty_-_file_0.0_10.0', 'file_length_6.0_13.0', 'qty___file_0.0_3.0', 'qty_=_params_0.0_4.0'})",0.1507125,0.1134625,0.7528406734676951,2.007575129247187
38,"frozenset({'qty_._directory_1.0_9.0', 'qty_=_params_0.0_4.0', 'qty_=_url_0.0_4.0', 'file_length_6.0_13.0'})",0.1514,0.1141125,0.7537153236459709,2.009907529722589
39,"frozenset({'qty_._directory_1.0_9.0', 'qty___file_0.0_3.0', 'qty_=_url_0.0_4.0', 'file_length_6.0_13.0'})",0.151375,0.1141125,0.7538398018166804,2.010239471511148
40,"frozenset({'qty_._directory_1.0_9.0', 'qty_=_url_0.0_4.0', 'qty_-_file_0.0_10.0', 'file_length_6.0_13.0'})",0.1514,0.1141125,0.7537153236459709,2.009907529722589
41,"frozenset({'qty_._directory_1.0_9.0', 'qty_=_url_0.0_4.0', 'qty_&_params_0.0_3.0', 'file_length_6.0_13.0'})",0.1505875,0.1133125,0.7524694944799535,2.0065853186132094
42,"frozenset({'qty_._directory_1.0_9.0', 'qty_&_url_0.0_3.0', 'qty_=_url_0.0_4.0', 'file_length_6.0_13.0'})",0.15055,0.113275,0.7524078379275989,2.0064209011402636
43,"frozenset({'qty_._directory_1.0_9.0', 'file_length_6.0_13.0', 'qty___file_0.0_3.0', 'qty_=_url_0.0_4.0', 'qty_=_params_0.0_4.0'})",0.151375,0.1141125,0.7538398018166804,2.010239471511148
44,"frozenset({'qty_-_file_0.0_10.0', 'qty_._directory_1.0_9.0', 'file_length_6.0_13.0', 'qty_=_url_0.0_4.0', 'qty_=_params_0.0_4.0'})",0.1514,0.1141125,0.7537153236459709,2.009907529722589
45,"frozenset({'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'file_length_6.0_13.0', 'qty_=_url_0.0_4.0', 'qty_=_params_0.0_4.0'})",0.1505875,0.1133125,0.7524694944799535,2.0065853186132094
46,"frozenset({'qty_&_url_0.0_3.0', 'qty_._directory_1.0_9.0', 'file_length_6.0_13.0', 'qty_=_url_0.0_4.0', 'qty_=_params_0.0_4.0'})",0.15055,0.113275,0.7524078379275989,2.0064209011402636
47,"frozenset({'qty_-_file_0.0_10.0', 'qty_._directory_1.0_9.0', 'file_length_6.0_13.0', 'qty___file_0.0_3.0', 'qty_=_url_0.0_4.0'})",0.151375,0.1141125,0.7538398018166804,2.010239471511148
48,"frozenset({'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'file_length_6.0_13.0', 'qty___file_0.0_3.0', 'qty_=_url_0.0_4.0'})",0.1505625,0.1133125,0.7525944375259445,2.0069185000691854
49,"frozenset({'qty_&_url_0.0_3.0', 'qty_._directory_1.0_9.0', 'file_length_6.0_13.0', 'qty___file_0.0_3.0', 'qty_=_url_0.0_4.0'})",0.150525,0.113275,0.7525328018601561,2.0067541382937497
50,"frozenset({'qty_-_file_0.0_10.0', 'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'file_length_6.0_13.0', 'qty_=_url_0.0_4.0'})",0.1505875,0.1133125,0.7524694944799535,2.0065853186132094
51,"frozenset({'qty_&_url_0.0_3.0', 'qty_-_file_0.0_10.0', 'qty_._directory_1.0_9.0', 'file_length_6.0_13.0', 'qty_=_url_0.0_4.0'})",0.15055,0.113275,0.7524078379275989,2.0064209011402636
52,"frozenset({'qty_&_url_0.0_3.0', 'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'file_length_6.0_13.0', 'qty_=_url_0.0_4.0'})",0.15055,0.113275,0.7524078379275989,2.0064209011402636
53,"frozenset({'qty_._directory_1.0_9.0', 'qty_-_file_0.0_10.0', 'file_length_6.0_13.0', 'qty___file_0.0_3.0', 'qty_=_url_0.0_4.0', 'qty_=_params_0.0_4.0'})",0.151375,0.1141125,0.7538398018166804,2.010239471511148
54,"frozenset({'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'file_length_6.0_13.0', 'qty___file_0.0_3.0', 'qty_=_url_0.0_4.0', 'qty_=_params_0.0_4.0'})",0.1505625,0.1133125,0.7525944375259445,2.0069185000691854
55,"frozenset({'qty_&_url_0.0_3.0', 'qty_._directory_1.0_9.0', 'file_length_6.0_13.0', 'qty___file_0.0_3.0', 'qty_=_url_0.0_4.0', 'qty_=_params_0.0_4.0'})",0.150525,0.113275,0.7525328018601561,2.0067541382937497
56,"frozenset({'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'qty_-_file_0.0_10.0', 'file_length_6.0_13.0', 'qty_=_url_0.0_4.0', 'qty_=_params_0.0_4.0'})",0.1505875,0.1133125,0.7524694944799535,2.0065853186132094
57,"frozenset({'qty_&_url_0.0_3.0', 'qty_._directory_1.0_9.0', 'qty_-_file_0.0_10.0', 'file_length_6.0_13.0', 'qty_=_url_0.0_4.0', 'qty_=_params_0.0_4.0'})",0.15055,0.113275,0.7524078379275989,2.0064209011402636
58,"frozenset({'qty_&_url_0.0_3.0', 'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'file_length_6.0_13.0', 'qty_=_url_0.0_4.0', 'qty_=_params_0.0_4.0'})",0.15055,0.113275,0.7524078379275989,2.0064209011402636
59,"frozenset({'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'qty_-_file_0.0_10.0', 'file_length_6.0_13.0', 'qty___file_0.0_3.0', 'qty_=_url_0.0_4.0'})",0.1505625,0.1133125,0.7525944375259445,2.0069185000691854
60,"frozenset({'qty_&_url_0.0_3.0', 'qty_._directory_1.0_9.0', 'qty_-_file_0.0_10.0', 'file_length_6.0_13.0', 'qty___file_0.0_3.0', 'qty_=_url_0.0_4.0'})",0.150525,0.113275,0.7525328018601561,2.0067541382937497
61,"frozenset({'qty_&_url_0.0_3.0', 'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'file_length_6.0_13.0', 'qty___file_0.0_3.0', 'qty_=_url_0.0_4.0'})",0.150525,0.113275,0.7525328018601561,2.0067541382937497
62,"frozenset({'qty_&_url_0.0_3.0', 'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'qty_-_file_0.0_10.0', 'file_length_6.0_13.0', 'qty_=_url_0.0_4.0'})",0.15055,0.113275,0.7524078379275989,2.0064209011402636
63,"frozenset({'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'qty_-_file_0.0_10.0', 'file_length_6.0_13.0', 'qty___file_0.0_3.0', 'qty_=_url_0.0_4.0', 'qty_=_params_0.0_4.0'})",0.1505625,0.1133125,0.7525944375259445,2.0069185000691854
64,"frozenset({'qty_&_url_0.0_3.0', 'qty_._directory_1.0_9.0', 'qty_-_file_0.0_10.0', 'file_length_6.0_13.0', 'qty___file_0.0_3.0', 'qty_=_url_0.0_4.0', 'qty_=_params_0.0_4.0'})",0.150525,0.113275,0.7525328018601561,2.0067541382937497
65,"frozenset({'qty_&_url_0.0_3.0', 'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'file_length_6.0_13.0', 'qty___file_0.0_3.0', 'qty_=_url_0.0_4.0', 'qty_=_params_0.0_4.0'})",0.150525,0.113275,0.7525328018601561,2.0067541382937497
66,"frozenset({'qty_&_url_0.0_3.0', 'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'qty_-_file_0.0_10.0', 'file_length_6.0_13.0', 'qty_=_url_0.0_4.0', 'qty_=_params_0.0_4.0'})",0.15055,0.113275,0.7524078379275989,2.0064209011402636
67,"frozenset({'qty_&_url_0.0_3.0', 'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'qty_-_file_0.0_10.0', 'file_length_6.0_13.0', 'qty___file_0.0_3.0', 'qty_=_url_0.0_4.0'})",0.150525,0.113275,0.7525328018601561,2.0067541382937497
68,"frozenset({'qty_&_url_0.0_3.0', 'qty_._directory_1.0_9.0', 'qty_&_params_0.0_3.0', 'qty_-_file_0.0_10.0', 'file_length_6.0_13.0', 'qty___file_0.0_3.0', 'qty_=_url_0.0_4.0', 'qty_=_params_0.0_4.0'})",0.150525,0.113275,0.7525328018601561,2.0067541382937497
69,"frozenset({'qty_._directory_1.0_9.0', 'qty_@_url_0', 'qty_@_params_0', 'file_length_6.0_13.0'})",0.1517875,0.113875,0.7502264679239068,2.0006039144637513
70,"frozenset({'qty_._directory_1.0_9.0', 'qty_@_url_0', 'qty___file_0.0_3.0', 'file_length_6.0_13.0'})",0.1517625,0.113875,0.7503500535375999,2.000933476100266
71,"frozenset({'qty_._directory_1.0_9.0', 'qty_@_url_0', 'qty_-_file_0.0_10.0', 'file_length_6.0_13.0'})",0.1517875,0.113875,0.7502264679239068,2.0006039144637513
72,"frozenset({'qty_._directory_1.0_9.0', 'qty_@_params_0', 'file_length_6.0_13.0', 'qty_@_url_0', 'qty___file_0.0_3.0'})",0.1517625,0.113875,0.7503500535375999,2.000933476100266
73,"frozenset({'qty_._directory_1.0_9.0', 'qty_-_file_0.0_10.0', 'qty_@_params_0', 'file_length_6.0_13.0', 'qty_@_url_0'})",0.1517875,0.113875,0.7502264679239068,2.0006039144637513
74,"frozenset({'qty_._directory_1.0_9.0', 'qty_-_file_0.0_10.0', 'file_length_6.0_13.0', 'qty_@_url_0', 'qty___file_0.0_3.0'})",0.1517625,0.113875,0.7503500535375999,2.000933476100266
75,"frozenset({'qty_._directory_1.0_9.0', 'qty_-_file_0.0_10.0', 'qty_@_params_0', 'file_length_6.0_13.0', 'qty_@_url_0', 'qty___file_0.0_3.0'})",0.1517625,0.113875,0.7503500535375999,2.000933476100266
76,frozenset({'prefix_suffix_in_domain_1'}),0.1577375,0.119525,0.7577462556462478,2.0206566817233274
