,Itemset,Antecedent Support,Union Support,Confidence,Lift
192,"frozenset({'qty_/_directory_2.0_3.0', 'qty_params_0.0_4.0', 'prefix_suffix_in_domain_0'})",0.247075,0.19875,0.8044116159061014,1.2870585854497623
193,"frozenset({'params_length_0.0_157.0', 'qty_/_directory_2.0_3.0', 'qty_params_0.0_4.0', 'prefix_suffix_in_domain_0'})",0.244925,0.198675,0.8111666836786771,1.2978666938858834
194,"frozenset({'params_length_0.0_157.0', 'path_level_1.0_2.0', 'prefix_suffix_in_domain_0'})",0.24615,0.1992,0.8092626447288238,1.2948202315661181
195,"frozenset({'qty_params_0.0_4.0', 'path_level_1.0_2.0', 'prefix_suffix_in_domain_0'})",0.247075,0.19875,0.8044116159061014,1.2870585854497623
196,"frozenset({'params_length_0.0_157.0', 'qty_/_directory_2.0_3.0', 'path_level_1.0_2.0', 'prefix_suffix_in_domain_0'})",0.24615,0.1992,0.8092626447288238,1.2948202315661181
197,"frozenset({'qty_/_directory_2.0_3.0', 'path_level_1.0_2.0', 'qty_params_0.0_4.0', 'prefix_suffix_in_domain_0'})",0.247075,0.19875,0.8044116159061014,1.2870585854497623
198,"frozenset({'params_length_0.0_157.0', 'qty_params_0.0_4.0', 'path_level_1.0_2.0', 'prefix_suffix_in_domain_0'})",0.244925,0.198675,0.8111666836786771,1.2978666938858834
199,"frozenset({'path_level_1.0_2.0', 'prefix_suffix_in_domain_0', 'params_length_0.0_157.0', 'qty_params_0.0_4.0', 'qty_/_directory_2.0_3.0'})",0.244925,0.198675,0.8111666836786771,1.2978666938858834
200,"frozenset({'anchor_files_ratio_0.69_1.0', 'params_length_0.0_157.0'})",0.2489625,0.20815,0.8360696892102224,1.3377115027363558
201,"frozenset({'anchor_files_ratio_0.69_1.0', 'qty_params_0.0_4.0'})",0.2490625,0.20795,0.834930991217064,1.3358895859473026
202,"frozenset({'anchor_files_ratio_0.69_1.0', 'prefix_suffix_in_domain_0'})",0.222225,0.1961125,0.8824952188097648,1.4119923500956237
203,"frozenset({'no_https_0', 'anchor_files_ratio_0.69_1.0'})",0.2098875,0.1903125,0.9067357512953368,1.450777202072539
204,"frozenset({'anchor_files_ratio_0.69_1.0', 'params_length_0.0_157.0', 'qty_params_0.0_4.0'})",0.248625,0.2078875,0.8361488185017596,1.3378381096028154
